Company,SFR,Payload (kg),Launch Cost ($M),Price ($/kg),Funding ($M),Launch Class,Orbit Altitude,Tech Type,Country,HQ Location,Description,Funding_Type,Funding_num,Country_Grouped,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,OA_Lunar,OA_Suborbital,TT_Balloon,TT_Other,TT_Plane,TT_Rocket,TT_Spaceplane,Funding_Missing,log_Payload (kg),log_Launch Cost ($M),log_Price ($/kg),log_Funding_num
Dark,1,200,5.0,25000,,Small,LEO,"Plane, Rocket",France,,"Making access to space widely available, less constrained and more efficient",Unknown,13.845,France,0,0,1,0,1,0,0,0,0,1,1,0,1,5.303304908059076,1.791759469228055,10.12667110305036,2.697663108215723
TiSPACE,3,390,0.0,0,,Small,LEO,Rocket,Taiwan,Chunan,"Developing a cost-effective space launch system using cutting-edge, non-explosive hybrid rocket technologies",Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,5.968707559985366,0.0,0.0,2.697663108215723
Space Engine Systems,4,5500,0.0,0,22.00,Medium,LEO,Spaceplane,Canada,"Edmonton, Alberta","Designing a reusable, single-stage-to-orbit cruise vehicle",Private (reported),22.0,Other,0,1,0,0,1,0,0,0,0,0,0,1,0,8.612685172875459,0.0,0.0,3.1354942159291497
Skyroot Aerospace,5,720,0.0,0,68.00,Small,LEO,Rocket,India,"Hyderabad, Telangana","Building technologies for responsive, reliable and economic access to space",Private (reported),68.0,India,0,0,1,0,1,0,0,0,0,0,1,0,0,6.580639137284949,0.0,0.0,4.23410650459726
Celestia Aerospace,2,16,0.2,12500,,Small,LEO,"Plane, Rocket",Spain,Barcelona,Personalized engineering support and dedicated airborne orbital launch platform,Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,1,1,0,1,2.833213344056216,0.18232155679395462,9.433563920090563,2.697663108215723
Wave Motion Launch,2,45360,0.0,0,,Heavy,LEO,Other,United States,"Seattle, WA",Building a space launch system for sending hardened satellites and bulk cargo into space,Unknown,13.845,United States,1,0,0,0,1,0,0,0,1,0,0,0,1,10.722407984014007,0.0,0.0,2.697663108215723
Green Launch,4,5,0.0,0,0.50,Small,LEO,Other,United States,"Edmond, OK",Green Launch is a technology created to revolutionize and expand our access to space,Private (reported),0.5,United States,0,0,1,0,1,0,0,0,1,0,0,0,0,1.791759469228055,0.0,0.0,0.4054651081081644
Gilmour Space,6,215,7.0,32558,66.00,Small,LEO,Rocket,Australia,"Pimpama, Queensland",Developing the ERIS launch vehicles to provide reliable and cost-effective access to space,Private (reported),66.0,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,5.375278407684165,2.0794415416798357,10.390809107114125,4.204692619390966
Earth to Sky,4,600,4.5,7500,5.25,Small,LEO,Rocket,United States,"Huntsville, AL",Providing launch services to LEO at an affordable cost,Private (reported),5.25,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,6.398594934535208,1.7047480922384253,8.922791623969637,1.8325814637483102
Hypersonix,4,150,0.0,0,,Small,LEO,"Rocket, Other",Australia,"Sydney, New South Wales",Bringing increased efficiency and flexibility to space launch through the use of cutting edge aerodynamic technology,Unknown,13.845,Other,0,0,1,0,1,0,0,0,1,0,1,0,1,5.017279836814924,0.0,0.0,2.697663108215723
Isar Aerospace Technologies,6,1000,10.0,10000,180.00,Small,LEO,Rocket,Germany,Ottobrun,Lowering the entry barriers to space and making space access affordable and sustainable,Private (reported),180.0,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,6.90875477931522,2.3978952727983707,9.210440366976517,5.198497031265826
UP Aerospace,9,36,0.0,0,0.72,Small,Suborbital,Rocket,United States,"Highlands Ranch, CO",UP Aerospace is a suborbital space launch and flight test service provider,Private (reported),0.72,United States,0,0,1,0,0,0,1,0,0,0,1,0,0,3.6109179126442243,0.0,0.0,0.5423242908253616
Equatorial Space Systems,5,350,0.0,0,0.75,Small,LEO,Rocket,United States,"Albuquerque, NM","Developing Volanis, a series of hybrid small-launch vehicles operated from an ocean platform",Private (reported),0.75,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,5.860786223465865,0.0,0.0,0.5596157879354227
Independence-X Aerospace,2,200,4.5,22500,,Small,LEO,Rocket,Malaysia,Kuala Lumpur,Aiming to innovate space exploration technologies to deliver efficient and cost effective solutions for humanity,Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,5.303304908059076,1.7047480922384253,10.021315031649332,2.697663108215723
Bagaveev,3,10,0.25,25000,0.96,Small,LEO,Rocket,United States,"Half Moon Bay, CA",Dedicated nanosatellite launch provider,Private (reported),0.96,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,2.3978952727983707,0.22314355131420976,10.12667110305036,0.6729444732424258
OmSpace Rocket and Exploration,2,0,0.0,0,,Small,LEO,Rocket,India,"Bharuch, Gujarat",Building a reusable small launch vehicle,Unknown,13.845,India,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,2.697663108215723
Promin Aerospace,3,0,0.2,0,0.50,Small,LEO,Rocket,Ukraine,Kiev,Developing a unique ultralight rocket platform,Private (reported),0.5,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,0.0,0.18232155679395462,0.0,0.4054651081081644
Smallspark Space Systems,3,400,8.1,20250,0.23,Small,LEO,Rocket,United Kingdom,"Cardiff, Wales","Developing vertical launch systems to provide the ability for the United Kingdom to effectively, reliably and affordably deliver satellites into orbit from the planned major UK vertical launch spaceports",Private (reported),0.23,United Kingdom,0,0,1,0,1,0,0,0,0,0,1,0,0,5.993961427306569,2.2082744135228043,9.915959454031448,0.20701416938432615
Space Perspective*,6,0,0.0,0,65.00,Tourism,Suborbital,Balloon,United States,"Kennedy Space Center, FL",The off-world travel company,Private (reported),65.0,United States,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,4.189654742026425
CloudIX,2,22,0.0,0,,Small,LEO,"Balloon, Rocket",United States,"Hayward, CA",Ultra low-cost rockets and satellite deployment,Unknown,13.845,United States,0,0,1,0,1,0,0,1,0,0,1,0,1,3.1354942159291497,0.0,0.0,2.697663108215723
Interorbital Systems,3,40,0.5,12500,,Small,LEO,Rocket,United States,"Mojave, CA","A rocket, satellite, and spacecraft manufacturing company.",Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,3.713572066704308,0.4054651081081644,9.433563920090563,2.697663108215723
New Ascent,1,0,0.0,0,0.11,,,Other,United States,"Annapolis, MD",Redefining launch from the ground up,Private (reported),0.11,United States,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.10436001532424277
Odyne Space,2,150,0.0,0,,Small,LEO,Rocket,United States,"Portland, OR",Cheaper access to space for nanosatellite payloads,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,5.017279836814924,0.0,0.0,2.697663108215723
Launcher,5,773,10.0,12937,14.90,Small,LEO,Rocket,United States,"Hawthorne, CA",A team on a 10-year journey to deliver small satellites to orbit.,Private (reported),14.9,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,6.651571873589727,2.3978952727983707,9.46792399660393,2.766319109226186
HyperMach Aerospace Holdings,1,45360,0.0,0,,Heavy,LEO,Spaceplane,United States,"Los Angeles, CA",Designing a single stage to orbit hypersonic vehicle of revolutionary design and propulsion capability,Unknown,13.845,United States,1,0,0,0,1,0,0,0,0,0,0,1,1,10.722407984014007,0.0,0.0,2.697663108215723
X-Bow Launch Systems,4,0,0.0,0,,Small,LEO,Rocket,United States,"Huntsville, AL",Dedicated to providing affordable access to orbit for commercial and government payloads,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,2.697663108215723
Stratobooster,1,0,0.0,0,,Small,LEO,"Balloon, Rocket",United Kingdom,"Middlesbrough, England",Launching small satellites into space using high altitude balloons,Unknown,13.845,United Kingdom,0,0,1,0,1,0,0,1,0,0,1,0,1,0.0,0.0,0.0,2.697663108215723
Dawn Aerospace,6,100,0.0,0,4.54,Small,LEO,Spaceplane,Netherlands,Delft,Developing scalable and sustainable space transportation technology to become the backbone of the near space economy,Private (reported),4.54,Other,0,0,1,0,1,0,0,0,0,0,0,1,0,4.61512051684126,0.0,0.0,1.7119945007591926
Seres Space Exploration Technology,1,20000,0.0,0,,Heavy,LEO,Rocket,China,Beijing,Developing a reusable launch vehicle named ‘Tianmeng’,Unknown,13.845,China,1,0,0,0,1,0,0,0,0,0,1,0,1,9.90353755128617,0.0,0.0,2.697663108215723
Pyramid Exploration Technologies,0,0,0.0,0,,Small,LEO,Rocket,South Africa,Polokwane,"Developing high-performance, low carbon micro launch vehicles",Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,2.697663108215723
Astraius,2,800,0.0,0,,Small,LEO,"Plane, Rocket",United Kingdom,"London, England",Developing the UK’s first commercially operated horizontal launch company for small to medium size satellites,Unknown,13.845,United Kingdom,0,0,1,0,1,0,0,0,0,1,1,0,1,6.68586094706836,0.0,0.0,2.697663108215723
Space Vector,4,0,0.0,0,,Small,LEO,Rocket,United States,"Chatsworth, CA",Space Vector has launched 37 vehicles to date with program turnaround times as short as 8 months,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,2.697663108215723
Skyrora,6,500,12.6,25200,4.85,Small,LEO,Rocket,United Kingdom,"Edinburgh, Scotland",Cost effective small satellite launch services from the United Kingdom,Private (reported),4.85,United Kingdom,0,0,1,0,1,0,0,0,0,0,1,0,0,6.2166061010848646,2.6100697927420065,10.134638955251866,1.766441661243765
HyPrSpace,2,250,0.0,0,,Small,LEO,Rocket,France,Le Haillan,Developing a fleet of hybrid rockets for micro launch,Unknown,13.845,France,0,0,1,0,1,0,0,0,0,0,1,0,1,5.5254529391317835,0.0,0.0,2.697663108215723
Landspace,7,4000,0.0,0,361.30,"Small, Medium",LEO,Rocket,China,Beijing,Commercial launch vehicle manufacturer and space launch provider in China,Private (reported),361.3,China,0,1,1,0,1,0,0,0,0,0,1,0,0,8.294299608857235,0.0,0.0,5.8924725979010315
Sirius Space Services,3,800,0.0,0,,Small,LEO,Rocket,France,Puteaux,"Developing a range of sustainable, reusable launchers dedicated to the launch of small satellites",Unknown,13.845,France,0,0,1,0,1,0,0,0,0,0,1,0,1,6.68586094706836,0.0,0.0,2.697663108215723
EOS-X,2,0,0.0,0,,Tourism,Suborbital,Balloon,Spain,Madrid,Revolutionizing near space tourism and opening it to a greater audience,Unknown,13.845,Other,0,0,0,1,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,2.697663108215723
